state_name,count,percent
Alabama,65,0.752576125969665
Alaska,10,0.115780942456872
Arizona,188,2.17668171818919
Arkansas,31,0.358920921616302
California,1416,16.394581451893
Colorado,208,2.40824360310293
Connecticut,111,1.28516846127127
Delaware,48,0.555748523792984
Florida,321,3.71656825286558
Georgia,270,3.12608544633553
Hawaii,30,0.347342827370615
Idaho,33,0.382077110107676
Illinois,393,4.55019103855505
Indiana,68,0.787310408706727
Iowa,51,0.590482806530045
Kansas,49,0.567326618038671
Kentucky,48,0.555748523792984
Louisiana,49,0.567326618038671
Maine,18,0.208405696422369
Maryland,252,2.91767974991316
Massachusetts,401,4.64281579252055
Michigan,207,2.39666550885724
Minnesota,151,1.74829223109876
Mississippi,25,0.289452356142179
Missouri,118,1.36621512099108
Montana,7,0.0810466597198101
Nebraska,41,0.474701864073174
Nevada,44,0.509436146810235
New Hampshire,34,0.393655204353363
New Jersey,346,4.00602060900776
New Mexico,25,0.289452356142179
New York,610,7.06263748986917
North Carolina,312,3.61236540465439
North Dakota,5,0.0578904712284358
Ohio,200,2.31561884913743
Oklahoma,37,0.428389487090425
Oregon,122,1.41252749797383
Pennsylvania,263,3.04503878661572
Rhode Island,28,0.32418663887924
South Carolina,32,0.370499015861989
South Dakota,18,0.208405696422369
Tennessee,85,0.984138010883409
Texas,719,8.32464976264907
Utah,65,0.752576125969665
Vermont,13,0.150515225193933
Virginia,447,5.17540812782216
Washington,341,3.94813013777932
"Washington, D.C.",168,1.94511983327544
West Virginia,13,0.150515225193933
Wisconsin,98,1.13465323607734
Wyoming,3,0.0347342827370615
